"slug","dex_id","name","form","type1","type2","hp","attack","defense","sp_attack","sp_defense","speed","generation","is_legendary","is_mythical","is_final_evo","is_restricted"
"flapple",841,"Flapple","","grass","dragon",70,110,80,95,60,70,8,0,0,1,0
"appletun",842,"Appletun","","grass","dragon",110,85,80,100,80,30,8,0,0,1,0
"sandaconda",844,"Sandaconda","","ground","",72,107,125,65,70,71,8,0,0,1,0
"polteageist",855,"Polteageist","","ghost","",60,65,65,134,114,70,8,0,0,1,0
"hatterene",858,"Hatterene","","psychic","fairy",57,90,95,136,103,29,8,0,0,1,0
"mr. rime",866,"Mr. Rime","","ice","psychic",80,85,75,110,100,70,8,0,0,1,0
"runerigus",867,"Runerigus","","ground","ghost",58,95,145,50,105,43,8,0,0,1,0
"alcremie",869,"Alcremie","","fairy","",65,60,75,110,121,64,8,0,0,1,0
"morpeko",877,"Morpeko","","electric","dark",58,95,58,70,58,97,8,0,0,1,0
"dragapult",887,"Dragapult","","dragon","ghost",88,120,75,100,75,142,8,0,0,1,0
"wyrdeer",899,"Wyrdeer","","normal","psychic",103,105,72,105,75,65,8,0,0,1,0
"kleavor",900,"Kleavor","","bug","rock",70,135,95,45,70,85,8,0,0,1,0
"basculegion-male",902,"Basculegion","Male","water","ghost",120,112,65,80,75,78,8,0,0,1,0
"basculegion-female",902,"Basculegion","Female","water","ghost",120,92,65,100,75,78,8,0,0,1,0
"sneasler",903,"Sneasler","","fighting","poison",80,130,60,40,80,120,8,0,0,1,0
"meowscarada",908,"Meowscarada","","grass","dark",76,110,70,81,70,123,9,0,0,1,0
"skeledirge",911,"Skeledirge","","fire","ghost",104,75,100,110,75,66,9,0,0,1,0
"quaquaval",914,"Quaquaval","","water","fighting",85,120,80,85,75,85,9,0,0,1,0
"maushold",925,"Maushold","","normal","",74,75,70,65,75,111,9,0,0,1,0
"garganacl",934,"Garganacl","","rock","",100,100,130,45,90,35,9,0,0,1,0
"armarouge",936,"Armarouge","","fire","psychic",85,60,100,125,80,75,9,0,0,1,0
"ceruledge",937,"Ceruledge","","fire","ghost",75,125,80,60,100,85,9,0,0,1,0
"bellibolt",939,"Bellibolt","","electric","",109,64,91,103,83,45,9,0,0,1,0
"scovillain",952,"Scovillain","","grass","fire",65,108,80,108,65,75,9,0,0,1,0
"espathra",956,"Espathra","","psychic","",95,60,60,101,60,105,9,0,0,1,0
"tinkaton",959,"Tinkaton","","fairy","steel",85,75,77,70,105,94,9,0,0,1,0
"palafin",964,"Palafin","","water","",100,70,72,53,62,100,9,0,0,1,0
"palafin-hero",964,"Palafin","Hero","water","",100,160,97,106,87,100,9,0,0,1,0
"orthworm",968,"Orthworm","","steel","",70,85,145,60,55,40,9,0,0,1,0
"glimmora",970,"Glimmora","","rock","poison",83,55,90,130,90,60,9,0,0,1,0
"farigiraf",981,"Farigiraf","","normal","psychic",120,90,70,90,110,60,9,0,0,1,0
"kingambit",983,"Kingambit","","dark","steel",100,135,120,60,85,50,9,0,0,1,0
"sinistcha",1013,"Sinistcha","","grass","ghost",71,60,106,121,80,70,9,0,0,1,0
"archaludon",1018,"Archaludon","","steel","dragon",90,105,130,125,65,85,9,0,0,1,0
"hydrapple",1019,"Hydrapple","","grass","dragon",106,80,110,120,80,44,9,0,0,1,0
