"species_slug","ability_slug","slot"
"garbodor","stench",1
"garbodor","weak-armor",2
"garbodor","aftermath",3
"garchomp","sand-veil",1
"garchomp","rough-skin",3
"gardevoir","synchronize",1
"gardevoir","trace",2
"garganacl","purifying-salt",1
"garganacl","sturdy",2
"garganacl","clear-body",3
"gengar","cursed-body",1
"glaceon","snow-cloak",1
"glaceon","ice-body",3
"glalie","inner-focus",1
"glalie","ice-body",2
"glalie","moody",3
"glimmora","toxic-debris",1
"glimmora","corrosion",3
"gliscor","hyper-cutter",1
"gliscor","sand-veil",2
"gliscor","poison-heal",3
"golurk","iron-fist",1
"golurk","klutz",2
"golurk","no-guard",3
"goodra","sap-sipper",1
"goodra","hydration",2
"goodra","gooey",3
"goodra-hisuian","sap-sipper",1
"goodra-hisuian","shell-armor",2
"goodra-hisuian","gooey",3
"gourgeist-large","pickup",1
"gourgeist-large","frisk",2
"gourgeist-large","insomnia",3
"gourgeist-medium","pickup",1
"gourgeist-medium","frisk",2
"gourgeist-medium","insomnia",3
"gourgeist-small","pickup",1
"gourgeist-small","frisk",2
"gourgeist-small","insomnia",3
"gourgeist-super","pickup",1
"gourgeist-super","frisk",2
"gourgeist-super","insomnia",3
"greninja","torrent",1
"greninja","protean",3
"gyarados","intimidate",1
"gyarados","moxie",3
"hatterene","healer",1
"hatterene","anticipation",2
"hatterene","magic-bounce",3
"hawlucha","limber",1
"hawlucha","unburden",2
"hawlucha","mold-breaker",3
"heliolisk","dry-skin",1
"heliolisk","sand-veil",2
"heliolisk","solar-power",3
"heracross","swarm",1
"heracross","guts",2
"heracross","moxie",3
"hippowdon","sand-stream",1
"hippowdon","sand-force",3
"houndoom","early-bird",1
"houndoom","flash-fire",2
"houndoom","unnerve",3
"hydrapple","supersweet-syrup",1
"hydrapple","regenerator",2
"hydrapple","sticky-hold",3
"hydreigon","levitate",1
"incineroar","blaze",1
"incineroar","intimidate",2
"infernape","blaze",1
"infernape","iron-fist",3
"jolteon","volt-absorb",1
"jolteon","quick-feet",3
"kangaskhan","early-bird",1
"kangaskhan","scrappy",2
"kangaskhan","inner-focus",3
"kingambit","defiant",1
"kingambit","supreme-overlord",2
"kingambit","pressure",3
"kleavor","swarm",1
"kleavor","sheer-force",2
"kleavor","sharpness",3
"klefki","prankster",1
"klefki","magician",3
"kommo-o","bulletproof",1
"kommo-o","soundproof",2
"kommo-o","overcoat",3
"krookodile","intimidate",1
"krookodile","moxie",2
"krookodile","anger-point",3
"leafeon","leaf-guard",1
"leafeon","chlorophyll",3
"liepard","limber",1
"liepard","unburden",2
"liepard","prankster",3
"lopunny","cute-charm",1
"lopunny","klutz",2
"lopunny","limber",3
"lucario","steadfast",1
"lucario","inner-focus",2
"lucario","justified",3
"luxray","rivalry",1
"luxray","intimidate",2
"luxray","guts",3
"lycanroc-dusk","tough-claws",1
"lycanroc-midday","keen-eye",1
"lycanroc-midday","sand-rush",2
"lycanroc-midday","steadfast",3
"lycanroc-midnight","keen-eye",1
"lycanroc-midnight","vital-spirit",2
"lycanroc-midnight","no-guard",3
"machamp","guts",1
"machamp","no-guard",2
"machamp","steadfast",3
"mamoswine","oblivious",1
"mamoswine","snow-cloak",2
"mamoswine","thick-fat",3
"manectric","static",1
"manectric","lightning-rod",2
"manectric","minus",3
"maushold","friend-guard",1
"maushold","cheek-pouch",2
"maushold","technician",3
"medicham","pure-power",1
"medicham","telepathy",3
"meganium","overgrow",1
"meganium","leaf-guard",3
"meowscarada","overgrow",1
"meowscarada","protean",3
"meowstic-female","keen-eye",1
"meowstic-female","infiltrator",2
"meowstic-female","competitive",3
"meowstic-male","keen-eye",1
"meowstic-male","infiltrator",2
"meowstic-male","prankster",3
"milotic","marvel-scale",1
"milotic","competitive",2
"milotic","cute-charm",3
"mimikyu","disguise",1
"morpeko","hunger-switch",1
"mr. rime","tangled-feet",1
"mr. rime","screen-cleaner",2
"mr. rime","ice-body",3
"mudsdale","own-tempo",1
"mudsdale","stamina",2
"mudsdale","inner-focus",3
"ninetales","flash-fire",1
"ninetales","drought",3
"ninetales-alolan","snow-cloak",1
"ninetales-alolan","snow-warning",3
"noivern","frisk",1
"noivern","infiltrator",2
"noivern","telepathy",3
"oranguru","inner-focus",1
"oranguru","telepathy",2
"oranguru","symbiosis",3
"orthworm","earth-eater",1
"orthworm","sand-veil",3
"palafin","zero-to-hero",1
"palafin-hero","zero-to-hero",1
"pangoro","iron-fist",1
"pangoro","mold-breaker",2
"pangoro","scrappy",3
"passimian","receiver",1
"passimian","defiant",3
"pelipper","keen-eye",1
"pelipper","drizzle",2
"pelipper","rain-dish",3
"pidgeot","keen-eye",1
"pidgeot","tangled-feet",2
"pidgeot","big-pecks",3
"pikachu","static",1
"pikachu","lightning-rod",3
"pinsir","hyper-cutter",1
"pinsir","mold-breaker",2
"pinsir","moxie",3
"politoed","water-absorb",1
"politoed","damp",2
"politoed","drizzle",3
"polteageist","weak-armor",1
"polteageist","cursed-body",3
"primarina","torrent",1
"primarina","liquid-voice",3
"quaquaval","torrent",1
"quaquaval","moxie",3
"raichu","static",1
"raichu","lightning-rod",3
"raichu-alolan","surge-surfer",1
"rampardos","mold-breaker",1
"rampardos","sheer-force",3
"reuniclus","overcoat",1
"reuniclus","magic-guard",2
"reuniclus","regenerator",3
"rhyperior","lightning-rod",1
"rhyperior","solid-rock",2
"rhyperior","reckless",3
"roserade","natural-cure",1
"roserade","poison-point",2
"roserade","technician",3
"rotom","levitate",1
"rotom-fan","levitate",1
"rotom-frost","levitate",1
"rotom-heat","levitate",1
"rotom-mow","levitate",1
"rotom-wash","levitate",1
"runerigus","wandering-spirit",1
"sableye","keen-eye",1
"sableye","stall",2
"sableye","prankster",3
"salazzle","corrosion",1
"salazzle","oblivious",3
"samurott","torrent",1
"samurott","shell-armor",3
"samurott-hisuian","torrent",1
"samurott-hisuian","sharpness",3
"sandaconda","sand-spit",1
"sandaconda","shed-skin",2
"sandaconda","sand-veil",3
"scizor","swarm",1
"scizor","technician",2
"scizor","light-metal",3
"scovillain","chlorophyll",1
"scovillain","insomnia",2
"scovillain","moody",3
"serperior","overgrow",1
"serperior","contrary",3
"sharpedo","rough-skin",1
"sharpedo","speed-boost",3
"simipour","gluttony",1
"simipour","torrent",3
"simisage","gluttony",1
"simisage","overgrow",3
"simisear","gluttony",1
"simisear","blaze",3
"sinistcha","hospitality",1
"sinistcha","heatproof",3
"skarmory","keen-eye",1
"skarmory","sturdy",2
"skarmory","weak-armor",3
"skeledirge","blaze",1
"skeledirge","unaware",3
"slowbro","oblivious",1
"slowbro","own-tempo",2
"slowbro","regenerator",3
"slowbro-galarian","quick-draw",1
"slowbro-galarian","own-tempo",2
"slowbro-galarian","regenerator",3
"slowking","oblivious",1
"slowking","own-tempo",2
"slowking","regenerator",3
"slowking-galarian","curious-medicine",1
"slowking-galarian","own-tempo",2
"slowking-galarian","regenerator",3
"slurpuff","sweet-veil",1
"slurpuff","unburden",3
"sneasler","pressure",1
"sneasler","unburden",2
"sneasler","poison-touch",3
"snorlax","immunity",1
"snorlax","thick-fat",2
"snorlax","gluttony",3
"spiritomb","pressure",1
"spiritomb","infiltrator",3
"starmie","illuminate",1
"starmie","natural-cure",2
"starmie","analytic",3
"steelix","rock-head",1
"steelix","sturdy",2
"steelix","sheer-force",3
"stunfisk","static",1
"stunfisk","limber",2
"stunfisk","sand-veil",3
"stunfisk-galarian","mimicry",1
"sylveon","cute-charm",1
"sylveon","pixilate",2
"talonflame","flame-body",1
"talonflame","gale-wings",3
"tauros","intimidate",1
"tauros","anger-point",2
"tauros","sheer-force",3
"tauros-paldean-aqua","intimidate",1
"tauros-paldean-aqua","anger-point",2
"tauros-paldean-aqua","sheer-force",3
"tauros-paldean-blaze","intimidate",1
"tauros-paldean-blaze","anger-point",2
"tauros-paldean-blaze","sheer-force",3
"tauros-paldean-combat","intimidate",1
"tauros-paldean-combat","anger-point",2
"tauros-paldean-combat","sheer-force",3
"tinkaton","mold-breaker",1
"tinkaton","own-tempo",2
"tinkaton","pickpocket",3
"torkoal","white-smoke",1
"torkoal","drought",2
"torkoal","shell-armor",3
"torterra","overgrow",1
"torterra","shell-armor",3
"toucannon","keen-eye",1
"toucannon","skill-link",2
"toucannon","sheer-force",3
"toxapex","merciless",1
"toxapex","limber",2
"toxapex","regenerator",3
"toxicroak","anticipation",1
"toxicroak","dry-skin",2
"toxicroak","poison-touch",3
"trevenant","natural-cure",1
"trevenant","frisk",2
"trevenant","harvest",3
"tsareena","leaf-guard",1
"tsareena","queenly-majesty",2
"tsareena","sweet-veil",3
"typhlosion","blaze",1
"typhlosion","flash-fire",3
"typhlosion-hisuian","blaze",1
"typhlosion-hisuian","frisk",3
"tyranitar","sand-stream",1
"tyrantrum","strong-jaw",1
"tyrantrum","rock-head",3
"umbreon","synchronize",1
"umbreon","inner-focus",3
"vanilluxe","ice-body",1
"vanilluxe","snow-warning",2
"vanilluxe","weak-armor",3
"vaporeon","water-absorb",1
"vaporeon","hydration",3
"venusaur","overgrow",1
"venusaur","chlorophyll",3
"victreebel","chlorophyll",1
"victreebel","gluttony",3
"vivillon","shield-dust",1
"vivillon","compound-eyes",2
"vivillon","friend-guard",3
"volcarona","flame-body",1
"volcarona","swarm",3
"watchog","illuminate",1
"watchog","keen-eye",2
"watchog","analytic",3
"weavile","pressure",1
"weavile","pickpocket",3
"whimsicott","prankster",1
"wyrdeer","intimidate",1
"wyrdeer","frisk",2
"wyrdeer","sap-sipper",3
"zoroark","illusion",1
"zoroark-hisuian","illusion",1
