"species_slug","move_slug"
"altaria","bulldoze"
"altaria","cotton-guard"
"altaria","dazzling-gleam"
"altaria","defog"
"altaria","double-edge"
"altaria","draco-meteor"
"altaria","dragon-cheer"
"altaria","dragon-claw"
"altaria","dragon-dance"
"altaria","dragon-pulse"
"altaria","dragon-rush"
"altaria","dual-wingbeat"
"altaria","earthquake"
"altaria","endeavor"
"altaria","endure"
"altaria","facade"
"altaria","feather-dance"
"altaria","fire-blast"
"altaria","fire-spin"
"altaria","flamethrower"
"altaria","fly"
"altaria","giga-impact"
"altaria","haze"
"altaria","heat-wave"
"altaria","helping-hand"
"altaria","hurricane"
"altaria","hyper-beam"
"altaria","hyper-voice"
"altaria","ice-beam"
"altaria","moonblast"
"altaria","outrage"
"altaria","perish-song"
"altaria","play-rough"
"altaria","pluck"
"altaria","power-swap"
"altaria","protect"
"altaria","rain-dance"
"altaria","rest"
"altaria","roar"
"altaria","roost"
"altaria","round"
"altaria","safeguard"
"altaria","sing"
"altaria","sky-attack"
"altaria","sleep-talk"
"altaria","snore"
"altaria","snowscape"
"altaria","solar-beam"
"altaria","steel-wing"
"altaria","substitute"
"altaria","sunny-day"
"altaria","tailwind"
"altaria","thief"
"altaria","trailblaze"
"altaria","uproar"
"altaria","weather-ball"
"altaria","will-o-wisp"
"altaria","wonder-room"
"ampharos","after-you"
"ampharos","agility"
"ampharos","body-slam"
"ampharos","breaking-swipe"
"ampharos","brick-break"
"ampharos","brutal-swing"
"ampharos","bulldoze"
"ampharos","charge"
"ampharos","charge-beam"
"ampharos","confuse-ray"
"ampharos","cotton-guard"
"ampharos","cotton-spore"
"ampharos","dazzling-gleam"
"ampharos","dig"
"ampharos","discharge"
"ampharos","double-edge"
"ampharos","dragon-cheer"
"ampharos","dragon-pulse"
"ampharos","dragon-tail"
"ampharos","eerie-impulse"
"ampharos","electric-terrain"
"ampharos","electro-ball"
"ampharos","electroweb"
"ampharos","endeavor"
"ampharos","endure"
"ampharos","facade"
"ampharos","fire-punch"
"ampharos","flatter"
"ampharos","fling"
"ampharos","focus-blast"
"ampharos","focus-punch"
"ampharos","giga-impact"
"ampharos","helping-hand"
"ampharos","hyper-beam"
"ampharos","ice-punch"
"ampharos","iron-tail"
"ampharos","light-screen"
"ampharos","low-kick"
"ampharos","magnetic-flux"
"ampharos","mega-kick"
"ampharos","meteor-beam"
"ampharos","outrage"
"ampharos","parabolic-charge"
"ampharos","power-gem"
"ampharos","protect"
"ampharos","rain-dance"
"ampharos","reflect"
"ampharos","rest"
"ampharos","rising-voltage"
"ampharos","roar"
"ampharos","round"
"ampharos","safeguard"
"ampharos","screech"
"ampharos","sleep-talk"
"ampharos","snore"
"ampharos","stomping-tantrum"
"ampharos","substitute"
"ampharos","sunny-day"
"ampharos","supercell-slam"
"ampharos","thunder"
"ampharos","thunder-punch"
"ampharos","thunder-wave"
"ampharos","thunderbolt"
"ampharos","trailblaze"
"ampharos","volt-switch"
"ampharos","wild-charge"
"ampharos","zap-cannon"
"appletun","amnesia"
"appletun","apple-acid"
"appletun","body-press"
"appletun","body-slam"
"appletun","bulldoze"
"appletun","bullet-seed"
"appletun","curse"
"appletun","draco-meteor"
"appletun","dragon-pulse"
"appletun","dragon-tail"
"appletun","earthquake"
"appletun","endure"
"appletun","energy-ball"
"appletun","facade"
"appletun","giga-drain"
"appletun","giga-impact"
"appletun","grass-knot"
"appletun","grassy-glide"
"appletun","grassy-terrain"
"appletun","growth"
"appletun","gyro-ball"
"appletun","heavy-slam"
"appletun","helping-hand"
"appletun","high-horsepower"
"appletun","hyper-beam"
"appletun","iron-defense"
"appletun","iron-head"
"appletun","leaf-storm"
"appletun","leech-seed"
"appletun","light-screen"
"appletun","outrage"
"appletun","pounce"
"appletun","protect"
"appletun","rain-dance"
"appletun","recover"
"appletun","recycle"
"appletun","reflect"
"appletun","rest"
"appletun","round"
"appletun","seed-bomb"
"appletun","sleep-talk"
"appletun","snore"
"appletun","solar-beam"
"appletun","stomping-tantrum"
"appletun","substitute"
"appletun","sucker-punch"
"appletun","sunny-day"
"appletun","superpower"
"appletun","sweet-scent"
"appletun","trailblaze"
"appletun","zen-headbutt"
"araquanid","aqua-ring"
"araquanid","attract"
"araquanid","bite"
"araquanid","blizzard"
"araquanid","body-slam"
"araquanid","bug-bite"
"araquanid","bug-buzz"
"araquanid","chilling-water"
"araquanid","crunch"
"araquanid","dive"
"araquanid","endeavor"
"araquanid","endure"
"araquanid","entrainment"
"araquanid","facade"
"araquanid","giga-drain"
"araquanid","giga-impact"
"araquanid","hydro-pump"
"araquanid","hyper-beam"
"araquanid","ice-beam"
"araquanid","icy-wind"
"araquanid","infestation"
"araquanid","iron-defense"
"araquanid","leech-life"
"araquanid","liquidation"
"araquanid","lunge"
"araquanid","magic-room"
"araquanid","mirror-coat"
"araquanid","poison-jab"
"araquanid","pounce"
"araquanid","power-split"
"araquanid","protect"
"araquanid","rain-dance"
"araquanid","reflect"
"araquanid","rest"
"araquanid","round"
"araquanid","scary-face"
"araquanid","skitter-smack"
"araquanid","sleep-talk"
"araquanid","snore"
"araquanid","soak"
"araquanid","spit-up"
"araquanid","sticky-web"
"araquanid","stockpile"
"araquanid","substitute"
"araquanid","surf"
"araquanid","trailblaze"
"araquanid","water-pulse"
"araquanid","waterfall"
"araquanid","wide-guard"
"araquanid","wonder-room"
"araquanid","x-scissor"
"arbok","acid-spray"
"arbok","beat-up"
"arbok","belch"
"arbok","bite"
"arbok","body-slam"
"arbok","breaking-swipe"
"arbok","brutal-swing"
"arbok","bulldoze"
"arbok","coil"
"arbok","crunch"
"arbok","dark-pulse"
"arbok","dig"
"arbok","double-edge"
"arbok","dragon-tail"
"arbok","earthquake"
"arbok","endure"
"arbok","facade"
"arbok","fire-fang"
"arbok","gastro-acid"
"arbok","giga-drain"
"arbok","giga-impact"
"arbok","glare"
"arbok","gunk-shot"
"arbok","haze"
"arbok","hyper-beam"
"arbok","ice-fang"
"arbok","iron-tail"
"arbok","knock-off"
"arbok","lash-out"
"arbok","leech-life"
"arbok","mud-shot"
"arbok","mud-slap"
"arbok","pain-split"
"arbok","payback"
"arbok","poison-fang"
"arbok","poison-jab"
"arbok","protect"
"arbok","psychic-fangs"
"arbok","rain-dance"
"arbok","rest"
"arbok","rock-slide"
"arbok","rock-tomb"
"arbok","round"
"arbok","scale-shot"
"arbok","scary-face"
"arbok","screech"
"arbok","seed-bomb"
"arbok","skitter-smack"
"arbok","sleep-talk"
"arbok","sludge-bomb"
"arbok","sludge-wave"
"arbok","snarl"
"arbok","snore"
"arbok","spit-up"
"arbok","spite"
"arbok","stockpile"
"arbok","stomping-tantrum"
"arbok","substitute"
"arbok","sucker-punch"
"arbok","sunny-day"
"arbok","swallow"
"arbok","switcheroo"
"arbok","thief"
"arbok","throat-chop"
"arbok","thunder-fang"
"arbok","toxic"
"arbok","toxic-spikes"
"arbok","trailblaze"
"arbok","venoshock"
"arbok","wrap"
"arcanine","aerial-ace"
"arcanine","agility"
"arcanine","bite"
"arcanine","body-slam"
"arcanine","bulldoze"
"arcanine","burn-up"
"arcanine","charm"
"arcanine","close-combat"
"arcanine","covet"
"arcanine","crunch"
"arcanine","curse"
"arcanine","dig"
"arcanine","double-edge"
"arcanine","dragon-pulse"
"arcanine","endure"
"arcanine","extreme-speed"
"arcanine","facade"
"arcanine","fire-blast"
"arcanine","fire-fang"
"arcanine","fire-spin"
"arcanine","flame-charge"
"arcanine","flamethrower"
"arcanine","flare-blitz"
"arcanine","giga-impact"
"arcanine","heat-crash"
"arcanine","heat-wave"
"arcanine","helping-hand"
"arcanine","howl"
"arcanine","hyper-beam"
"arcanine","hyper-voice"
"arcanine","iron-head"
"arcanine","iron-tail"
"arcanine","morning-sun"
"arcanine","outrage"
"arcanine","overheat"
"arcanine","play-rough"
"arcanine","protect"
"arcanine","psychic-fangs"
"arcanine","raging-fury"
"arcanine","rest"
"arcanine","reversal"
"arcanine","roar"
"arcanine","round"
"arcanine","scary-face"
"arcanine","scorching-sands"
"arcanine","sleep-talk"
"arcanine","snarl"
"arcanine","snore"
"arcanine","solar-beam"
"arcanine","substitute"
"arcanine","sunny-day"
"arcanine","temper-flare"
"arcanine","thief"
"arcanine","thrash"
"arcanine","thunder-fang"
"arcanine","wild-charge"
"arcanine","will-o-wisp"
"arcanine-hisui","aerial-ace"
"arcanine-hisui","agility"
"arcanine-hisui","bite"
"arcanine-hisui","body-slam"
"arcanine-hisui","bulldoze"
"arcanine-hisui","burn-up"
"arcanine-hisui","close-combat"
"arcanine-hisui","covet"
"arcanine-hisui","crunch"
"arcanine-hisui","dig"
"arcanine-hisui","double-edge"
"arcanine-hisui","dragon-pulse"
"arcanine-hisui","endure"
"arcanine-hisui","extreme-speed"
"arcanine-hisui","facade"
"arcanine-hisui","fire-blast"
"arcanine-hisui","fire-fang"
"arcanine-hisui","fire-spin"
"arcanine-hisui","flame-charge"
"arcanine-hisui","flamethrower"
"arcanine-hisui","flare-blitz"
"arcanine-hisui","giga-impact"
"arcanine-hisui","head-smash"
"arcanine-hisui","heat-crash"
"arcanine-hisui","heat-wave"
"arcanine-hisui","helping-hand"
"arcanine-hisui","howl"
"arcanine-hisui","hyper-beam"
"arcanine-hisui","hyper-voice"
"arcanine-hisui","iron-head"
"arcanine-hisui","iron-tail"
"arcanine-hisui","morning-sun"
"arcanine-hisui","outrage"
"arcanine-hisui","overheat"
"arcanine-hisui","power-gem"
"arcanine-hisui","protect"
"arcanine-hisui","psychic-fangs"
"arcanine-hisui","raging-fury"
"arcanine-hisui","rest"
"arcanine-hisui","reversal"
"arcanine-hisui","roar"
"arcanine-hisui","rock-blast"
"arcanine-hisui","rock-slide"
"arcanine-hisui","rock-tomb"
"arcanine-hisui","round"
"arcanine-hisui","sandstorm"
"arcanine-hisui","scary-face"
"arcanine-hisui","scorching-sands"
"arcanine-hisui","sleep-talk"
"arcanine-hisui","smack-down"
"arcanine-hisui","smart-strike"
"arcanine-hisui","snarl"
"arcanine-hisui","snore"
"arcanine-hisui","solar-beam"
"arcanine-hisui","stealth-rock"
"arcanine-hisui","stone-edge"
"arcanine-hisui","substitute"
"arcanine-hisui","sunny-day"
"arcanine-hisui","temper-flare"
"arcanine-hisui","thief"
"arcanine-hisui","thrash"
"arcanine-hisui","thunder-fang"
"arcanine-hisui","wild-charge"
"arcanine-hisui","will-o-wisp"
"archaludon","aura-sphere"
"archaludon","body-slam"
"archaludon","breaking-swipe"
"archaludon","brick-break"
"archaludon","dark-pulse"
"archaludon","double-edge"
"archaludon","draco-meteor"
"archaludon","dragon-cheer"
"archaludon","dragon-claw"
"archaludon","dragon-pulse"
"archaludon","dragon-tail"
"archaludon","earthquake"
"archaludon","electro-shot"
"archaludon","endure"
"archaludon","facade"
"archaludon","flash-cannon"
"archaludon","focus-energy"
"archaludon","foul-play"
"archaludon","giga-impact"
"archaludon","gyro-ball"
"archaludon","hard-press"
"archaludon","heavy-slam"
"archaludon","hyper-beam"
"archaludon","iron-defense"
"archaludon","iron-head"
"archaludon","light-screen"
"archaludon","metal-burst"
"archaludon","metal-sound"
"archaludon","meteor-beam"
"archaludon","mirror-coat"
"archaludon","night-slash"
"archaludon","outrage"
"archaludon","protect"
"archaludon","reflect"
"archaludon","rest"
"archaludon","roar"
"archaludon","rock-slide"
"archaludon","rock-tomb"
"archaludon","scary-face"
"archaludon","sleep-talk"
"archaludon","smack-down"
"archaludon","snarl"
"archaludon","solar-beam"
"archaludon","stealth-rock"
"archaludon","steel-beam"
"archaludon","stone-edge"
"archaludon","substitute"
"archaludon","swords-dance"
"archaludon","thunder"
"archaludon","thunder-wave"
"archaludon","thunderbolt"
"ariados","acid-spray"
"ariados","agility"
"ariados","assurance"
"ariados","baton-pass"
"ariados","body-slam"
"ariados","bounce"
"ariados","bug-bite"
"ariados","bug-buzz"
"ariados","cross-poison"
"ariados","dig"
"ariados","disable"
"ariados","electroweb"
"ariados","endure"
"ariados","facade"
"ariados","fell-stinger"
"ariados","first-impression"
"ariados","focus-energy"
"ariados","foul-play"
"ariados","giga-drain"
"ariados","giga-impact"
"ariados","hex"
"ariados","hyper-beam"
"ariados","infestation"
"ariados","knock-off"
"ariados","leech-life"
"ariados","lunge"
"ariados","megahorn"
"ariados","night-shade"
"ariados","night-slash"
"ariados","pin-missile"
"ariados","poison-jab"
"ariados","pounce"
"ariados","protect"
"ariados","psychic-fangs"
"ariados","rage-powder"
"ariados","rest"
"ariados","round"
"ariados","scary-face"
"ariados","screech"
"ariados","shadow-sneak"
"ariados","skitter-smack"
"ariados","sleep-talk"
"ariados","sludge-bomb"
"ariados","sludge-wave"
"ariados","smart-strike"
"ariados","snore"
"ariados","solar-beam"
"ariados","spite"
"ariados","sticky-web"
"ariados","stomping-tantrum"
"ariados","string-shot"
"ariados","struggle-bug"
"ariados","substitute"
"ariados","sucker-punch"
"ariados","sunny-day"
"ariados","swords-dance"
"ariados","thief"
"ariados","throat-chop"
"ariados","toxic"
"ariados","toxic-spikes"
"ariados","toxic-thread"
"ariados","trailblaze"
"ariados","venoshock"
"ariados","x-scissor"
"armarouge","acid-spray"
"armarouge","ally-switch"
"armarouge","armor-cannon"
"armarouge","aura-sphere"
"armarouge","burn-up"
"armarouge","calm-mind"
"armarouge","clear-smog"
"armarouge","confuse-ray"
"armarouge","dark-pulse"
"armarouge","destiny-bond"
"armarouge","disable"
"armarouge","dragon-pulse"
"armarouge","endure"
"armarouge","energy-ball"
"armarouge","expanding-force"
"armarouge","facade"
"armarouge","fire-blast"
"armarouge","fire-spin"
"armarouge","flame-charge"
"armarouge","flamethrower"
"armarouge","flare-blitz"
"armarouge","flash-cannon"
"armarouge","fling"
"armarouge","focus-blast"
"armarouge","heat-wave"
"armarouge","helping-hand"
"armarouge","hyper-beam"
"armarouge","iron-defense"
"armarouge","lava-plume"
"armarouge","light-screen"
"armarouge","meteor-beam"
"armarouge","mystical-fire"
"armarouge","night-shade"
"armarouge","overheat"
"armarouge","protect"
"armarouge","psych-up"
"armarouge","psychic"
"armarouge","psychic-terrain"
"armarouge","psyshock"
"armarouge","reflect"
"armarouge","rest"
"armarouge","scorching-sands"
"armarouge","shadow-ball"
"armarouge","sleep-talk"
"armarouge","solar-beam"
"armarouge","spite"
"armarouge","stored-power"
"armarouge","substitute"
"armarouge","sunny-day"
"armarouge","taunt"
"armarouge","trick"
"armarouge","trick-room"
"armarouge","weather-ball"
"armarouge","wide-guard"
"armarouge","will-o-wisp"
"aromatisse","after-you"
"aromatisse","alluring-voice"
"aromatisse","ally-switch"
"aromatisse","aromatic-mist"
"aromatisse","attract"
"aromatisse","calm-mind"
"aromatisse","charm"
"aromatisse","dazzling-gleam"
"aromatisse","disable"
"aromatisse","drain-punch"
"aromatisse","draining-kiss"
"aromatisse","encore"
"aromatisse","endure"
"aromatisse","energy-ball"
"aromatisse","facade"
"aromatisse","fake-tears"
"aromatisse","flail"
"aromatisse","flash-cannon"
"aromatisse","giga-impact"
"aromatisse","gyro-ball"
"aromatisse","heal-pulse"
"aromatisse","helping-hand"
"aromatisse","hyper-beam"
"aromatisse","hypnosis"
"aromatisse","light-screen"
"aromatisse","misty-explosion"
"aromatisse","misty-terrain"
"aromatisse","moonblast"
"aromatisse","nasty-plot"
"aromatisse","protect"
"aromatisse","psych-up"
"aromatisse","psychic"
"aromatisse","psyshock"
"aromatisse","rain-dance"
"aromatisse","reflect"
"aromatisse","rest"
"aromatisse","round"
"aromatisse","skill-swap"
"aromatisse","sleep-talk"
"aromatisse","snore"
"aromatisse","substitute"
"aromatisse","sunny-day"
"aromatisse","sweet-kiss"
"aromatisse","sweet-scent"
"aromatisse","thunder"
"aromatisse","thunderbolt"
"aromatisse","trick-room"
"aromatisse","wish"
"audino","after-you"
"audino","ally-switch"
"audino","amnesia"
"audino","attract"
"audino","baby-doll-eyes"
"audino","blizzard"
"audino","body-slam"
"audino","calm-mind"
"audino","chilling-water"
"audino","dazzling-gleam"
"audino","dig"
"audino","double-edge"
"audino","drain-punch"
"audino","draining-kiss"
"audino","encore"
"audino","endure"
"audino","entrainment"
"audino","facade"
"audino","fire-blast"
"audino","fire-punch"
"audino","flamethrower"
"audino","fling"
"audino","giga-impact"
"audino","grass-knot"
"audino","heal-pulse"
"audino","healing-wish"
"audino","helping-hand"
"audino","hyper-beam"
"audino","hyper-voice"
"audino","ice-beam"
"audino","ice-punch"
"audino","icy-wind"
"audino","iron-tail"
"audino","last-resort"
"audino","life-dew"
"audino","light-screen"
"audino","low-kick"
"audino","mega-kick"
"audino","misty-terrain"
"audino","protect"
"audino","psychic"
"audino","psyshock"
"audino","rain-dance"
"audino","reflect"
"audino","rest"
"audino","round"
"audino","safeguard"
"audino","shadow-ball"
"audino","simple-beam"
"audino","skill-swap"
"audino","sleep-talk"
"audino","snore"
"audino","solar-beam"
"audino","stomping-tantrum"
"audino","substitute"
"audino","sunny-day"
"audino","surf"
"audino","sweet-kiss"
"audino","throat-chop"
"audino","thunder"
"audino","thunder-punch"
"audino","thunder-wave"
"audino","thunderbolt"
"audino","trick-room"
"audino","uproar"
"audino","wild-charge"
"audino","wish"
